date,commission,return_sold,return_bought,return_kept
2025-02-05,0.0003,0.0,-9.999000099989182e-05,0.0
2025-02-28,0.00026180862928598225,-0.007042953011585102,-4.3616063492119396e-05,-0.009980890298303733
2025-03-31,0.00032486989379670997,-0.004097740320698749,-5.377024133634899e-05,-0.0018294371406160812
2025-04-30,0.00014056195207394308,0.0006774958323574799,-2.3196467210631738e-05,0.0021605722186874864
2025-06-03,9.021603496931365e-05,0.0008231672792890893,-1.5061061372158217e-05,0.000971756640909098
2025-06-30,0.00017887449096893931,0.004218965148791415,-2.984532001460615e-05,0.002982395285880024
2025-07-31,0.00014086207680288047,-0.005792045530507998,-2.3666760733598704e-05,-0.0040167244147750756
2025-09-01,0.00012167746214997674,0.0024303449423250644,-2.0012270366880435e-05,0.006612206466515124
2025-09-30,0.00020973958894567678,0.004765986197239927,-3.506248288585589e-05,0.0044606327609220025
2025-10-31,3.769383349729014e-05,-0.0013698759654713392,-6.691306634768972e-06,-0.003896084500623737
2025-12-01,0.0001950161094010483,0.0035517085857300203,-3.303912459245952e-05,0.0023257938851178345
2025-12-31,0.00024416201295596044,-0.00043196975619627583,-4.085471247855429e-05,-0.0010612503190952102
